project_type,client_industry,estimated_timeline_months,team_size,complexity_score,revision_count,developer_experience_level,final_billed_amount
CRM System,Healthcare,7,12,2,0,3,12623882.91
Cybersecurity Implementation,Startup,8,6,1,8,4,5323037.84
Cloud Migration,Finance,7,3,2,0,2,3892545.93
Data Engineering Pipeline,Education,4,3,2,5,3,3268078.55
Legacy System Modernization,Education,3,8,5,6,2,5356138.9
Legacy System Modernization,Healthcare,15,8,4,3,5,18822617.77
SaaS Product,Healthcare,4,7,2,4,5,4294741.36
Cybersecurity Implementation,Startup,9,2,1,3,4,2251224.66
Mobile Application,Startup,13,13,5,3,3,24135238.49
Business Intelligence Dashboard,Healthcare,18,14,4,9,5,51009570.69
Blockchain Solution,Healthcare,16,13,4,0,1,54639543.84
ERP System,Education,1,4,3,5,4,612116.44
DevOps Automation,Healthcare,4,10,1,9,2,6077018.67
Blockchain Solution,Retail,18,11,5,9,3,47503876.07
Mobile Application,Finance,8,2,5,6,3,3668932.55
Cloud Migration,Healthcare,16,3,1,6,1,7888395.93
AI/ML Solution,Startup,11,9,4,7,5,19809907.21
E-commerce Platform,Retail,18,8,2,6,3,19653758.92
AI/ML Solution,Startup,11,10,1,5,1,10221351.09
IoT System,Retail,3,11,5,7,1,9504884.57
Mobile Application,Healthcare,8,13,1,2,2,14975584.74
IoT System,Finance,10,13,4,8,1,38384433.13
Cybersecurity Implementation,Startup,16,5,3,2,4,9654686.0
DevOps Automation,Retail,5,5,3,3,3,3359841.87
Web Application,Education,9,8,2,9,4,7195796.78
Blockchain Solution,Healthcare,8,2,2,5,1,4316083.77
Web Application,Finance,11,11,4,7,1,22113759.43
Cloud Migration,Healthcare,16,13,2,2,4,37610243.42
Cybersecurity Implementation,Education,7,10,3,9,2,15048108.5
CRM System,Finance,15,3,4,5,1,11769463.78
Blockchain Solution,Education,17,2,4,4,4,7637399.69
IoT System,Healthcare,6,8,4,4,4,12931479.51
CRM System,Retail,15,7,1,4,3,14241308.98
ERP System,Healthcare,8,13,2,8,2,24249396.18
SaaS Product,Healthcare,7,4,5,6,5,23294163.61
DevOps Automation,Healthcare,2,2,3,8,4,969814.14
SaaS Product,Startup,13,13,2,8,3,23437877.0
DevOps Automation,Education,6,6,3,5,5,3692762.0
AI/ML Solution,Education,5,11,2,5,3,9051314.14
Data Engineering Pipeline,Education,1,15,5,3,3,3023874.21
Blockchain Solution,Startup,18,5,3,7,2,16544060.13
IoT System,Retail,15,6,5,1,1,18666232.22
SaaS Product,Healthcare,10,2,3,4,2,4089421.91
Cloud Migration,Retail,3,2,1,0,5,797337.12
Web Application,Startup,5,6,1,9,2,2685939.3
Legacy System Modernization,Education,13,7,3,1,1,27507995.89
E-commerce Platform,Healthcare,8,6,3,0,2,8737867.3
Cloud Migration,Finance,2,3,5,5,2,2296444.76
CRM System,Finance,9,10,4,1,2,20652854.26
CRM System,Retail,17,6,3,3,4,10328893.7
SaaS Product,Education,18,12,2,4,4,23948246.96
E-commerce Platform,Finance,13,12,2,6,2,30485212.91
Mobile Application,Retail,1,6,2,9,1,848020.72
ERP System,Startup,12,11,1,0,1,12549243.55
Blockchain Solution,Retail,5,10,5,10,1,13732889.99
DevOps Automation,Retail,8,4,1,4,1,3746226.59
Business Intelligence Dashboard,Retail,15,6,2,3,3,10826959.49
Legacy System Modernization,Healthcare,3,14,3,6,2,8585709.92
IoT System,Retail,6,13,2,9,2,15993012.1
Cloud Migration,Retail,13,6,3,6,3,13977739.61
IoT System,Healthcare,12,3,5,7,1,13938255.42
CRM System,Healthcare,18,12,4,3,5,54396384.2
Data Engineering Pipeline,Startup,1,5,3,3,5,618816.94
AI/ML Solution,Education,7,12,1,9,3,11562077.43
Web Application,Finance,12,12,2,4,5,18709907.59
ERP System,Finance,10,3,2,4,4,6996038.38
Data Engineering Pipeline,Retail,12,6,2,10,2,12361247.22
ERP System,Startup,11,11,3,2,5,15039954.98
Mobile Application,Retail,4,14,5,4,4,8373851.58
Business Intelligence Dashboard,Finance,6,13,3,4,2,12579304.62
SaaS Product,Healthcare,9,3,1,7,4,4603300.05
SaaS Product,Education,10,11,2,6,2,12519285.62
CRM System,Startup,5,15,3,7,2,10708854.55
AI/ML Solution,Healthcare,13,10,2,4,5,37008280.56
E-commerce Platform,Education,9,11,1,10,3,11553995.62
Blockchain Solution,Startup,2,7,4,1,5,2674554.94
E-commerce Platform,Startup,18,9,4,7,1,23893079.42
Data Engineering Pipeline,Finance,1,10,4,8,4,3027222.54
ERP System,Healthcare,12,14,2,1,1,32589510.67
DevOps Automation,Startup,10,9,3,0,2,10733377.68
Mobile Application,Startup,2,6,2,5,5,2463140.73
DevOps Automation,Education,9,6,5,2,1,8995076.68
AI/ML Solution,Finance,2,7,3,0,1,3042755.86
Blockchain Solution,Retail,14,15,1,5,1,34445197.43
Blockchain Solution,Finance,11,2,4,7,2,6825818.07
Data Engineering Pipeline,Retail,11,14,3,8,2,32766831.71
IoT System,Healthcare,17,12,3,5,2,46896964.9
Mobile Application,Healthcare,4,9,4,5,1,5877138.66
Legacy System Modernization,Startup,13,3,1,0,4,7184601.29
Blockchain Solution,Healthcare,7,7,2,4,5,11743842.84
Blockchain Solution,Startup,16,15,2,2,5,37425659.98
Data Engineering Pipeline,Finance,1,15,3,6,2,3798980.19
CRM System,Healthcare,13,10,4,8,1,30226367.44
Cybersecurity Implementation,Finance,1,14,5,10,4,5132268.34
Mobile Application,Finance,11,4,1,5,3,5949033.16
DevOps Automation,Healthcare,6,3,2,4,2,3174900.22
AI/ML Solution,Finance,3,11,1,6,3,7178846.75
Blockchain Solution,Healthcare,12,6,1,10,5,15714556.75
Blockchain Solution,Healthcare,5,12,1,8,5,12377934.45
SaaS Product,Healthcare,9,10,4,4,4,21665923.8
Business Intelligence Dashboard,Retail,12,7,4,4,4,9887792.0
CRM System,Finance,10,15,4,9,3,46971414.97
Blockchain Solution,Education,5,9,3,3,5,8590723.75
Cybersecurity Implementation,Healthcare,5,9,4,4,4,11834952.43
Business Intelligence Dashboard,Finance,9,8,3,6,4,13264199.23
SaaS Product,Startup,17,6,2,2,5,14389578.06
Web Application,Healthcare,10,3,2,3,5,4433634.73
CRM System,Healthcare,1,15,2,8,1,3198599.18
AI/ML Solution,Education,16,11,2,1,4,21300261.55
ERP System,Retail,15,11,2,7,3,28410981.67
Mobile Application,Retail,17,6,4,8,2,19237867.91
Data Engineering Pipeline,Healthcare,13,13,5,4,2,43953086.12
AI/ML Solution,Finance,1,8,4,6,5,2980697.3
Legacy System Modernization,Startup,8,13,5,5,3,45969466.86
Mobile Application,Startup,5,13,4,0,1,8097211.98
Business Intelligence Dashboard,Finance,6,8,2,7,4,7677705.61
IoT System,Healthcare,14,12,1,8,1,26840838.99
Data Engineering Pipeline,Startup,11,14,5,9,3,27559982.7
Cloud Migration,Retail,6,3,1,10,1,5492193.04
DevOps Automation,Finance,11,8,2,0,5,13590625.83
Web Application,Education,13,7,5,7,2,13394497.21
CRM System,Healthcare,12,8,1,2,5,15333300.1
Blockchain Solution,Finance,2,12,4,5,4,7999104.72
IoT System,Startup,3,9,2,9,5,3597660.92
SaaS Product,Healthcare,4,5,4,7,3,10079758.5
Legacy System Modernization,Retail,17,2,4,4,3,5752561.65
IoT System,Healthcare,6,9,2,7,4,11907694.5
AI/ML Solution,Healthcare,7,9,5,6,4,24273388.4
Web Application,Retail,15,4,3,6,2,8164120.27
ERP System,Retail,11,4,3,6,1,8527902.11
E-commerce Platform,Healthcare,3,6,2,8,2,3340937.31
Mobile Application,Retail,6,15,3,5,5,12605706.53
Mobile Application,Finance,2,4,1,5,1,1283494.31
AI/ML Solution,Retail,14,15,5,10,4,60314253.1
Cybersecurity Implementation,Retail,9,6,4,8,3,11853290.79
Cybersecurity Implementation,Healthcare,18,9,4,5,5,48002395.33
Blockchain Solution,Finance,12,2,2,6,2,16202527.84
Legacy System Modernization,Education,13,3,4,6,4,4786423.52
Cloud Migration,Education,12,3,1,1,1,4211829.7
DevOps Automation,Startup,12,13,1,7,1,14783908.69
Data Engineering Pipeline,Retail,18,5,2,10,3,16150311.54
ERP System,Retail,9,10,4,5,4,16384772.99
Blockchain Solution,Finance,17,3,3,3,4,13841057.93
Web Application,Education,16,13,3,10,5,24467845.39
Cybersecurity Implementation,Startup,17,15,5,6,5,53619868.83
Cloud Migration,Finance,8,12,2,7,1,15775644.86
Cloud Migration,Retail,11,14,5,0,2,41064739.19
Legacy System Modernization,Education,2,13,3,9,1,3113359.66
AI/ML Solution,Startup,8,10,3,3,5,13304413.71
ERP System,Healthcare,12,8,3,3,5,19348729.22
Business Intelligence Dashboard,Education,1,11,5,9,5,3996727.82
Data Engineering Pipeline,Startup,13,9,2,8,1,15949809.08
Legacy System Modernization,Finance,17,2,1,5,4,6237701.15
DevOps Automation,Healthcare,14,14,1,3,2,24919899.19
Legacy System Modernization,Startup,14,6,3,0,2,9088564.14
Legacy System Modernization,Startup,16,10,2,7,5,17091189.64
CRM System,Retail,17,13,2,10,3,35638818.7
AI/ML Solution,Education,6,5,4,8,1,4486429.65
Data Engineering Pipeline,Retail,7,3,4,4,4,4731397.3
CRM System,Healthcare,1,7,5,4,5,1752722.82
CRM System,Startup,15,3,4,9,3,7859165.52
SaaS Product,Retail,18,4,5,7,5,46655901.35
ERP System,Education,13,15,1,7,3,26859586.54
SaaS Product,Healthcare,2,9,3,4,2,3253191.36
ERP System,Finance,15,4,2,3,3,13691898.42
Blockchain Solution,Retail,12,3,1,5,2,5778237.23
Web Application,Healthcare,15,7,1,9,2,10364260.24
Cloud Migration,Finance,18,15,5,4,1,76624168.63
Data Engineering Pipeline,Retail,14,4,3,7,3,7708010.57
AI/ML Solution,Healthcare,6,2,5,8,4,3540426.12
Blockchain Solution,Healthcare,12,13,1,0,4,27735949.77
E-commerce Platform,Retail,6,15,2,8,3,9241921.43
Legacy System Modernization,Healthcare,9,15,4,8,1,28532183.67
Mobile Application,Startup,4,4,5,5,4,2543261.32
AI/ML Solution,Retail,17,7,1,10,5,15510143.78
Web Application,Healthcare,2,4,4,9,4,1744688.35
DevOps Automation,Finance,16,10,4,4,1,43409476.95
IoT System,Finance,14,8,1,6,2,19969436.48
IoT System,Startup,8,15,3,10,2,19223783.54
Cloud Migration,Retail,14,6,1,7,2,13517815.69
IoT System,Healthcare,2,3,2,8,1,1612597.28
IoT System,Healthcare,16,10,4,8,2,34159501.56
Mobile Application,Finance,4,6,2,9,2,4415621.75
Cybersecurity Implementation,Startup,1,8,5,10,1,1931779.62
SaaS Product,Finance,14,10,4,2,5,37550820.32
DevOps Automation,Finance,8,5,3,7,4,8747669.45
SaaS Product,Startup,3,10,1,0,1,3436732.87
ERP System,Retail,5,2,5,6,1,2181920.66
CRM System,Healthcare,6,13,2,4,3,9885678.09
Cybersecurity Implementation,Retail,8,7,5,1,2,14438590.55
SaaS Product,Education,6,3,3,1,5,2540562.85
AI/ML Solution,Education,6,9,1,7,3,8105409.26
AI/ML Solution,Education,4,6,5,4,5,6620865.26
SaaS Product,Startup,7,4,2,10,2,4518148.2
Legacy System Modernization,Finance,7,3,5,2,2,6302820.89
SaaS Product,Retail,3,9,1,0,2,3821868.4
IoT System,Healthcare,8,8,5,10,4,23553787.86
ERP System,Education,1,10,2,6,5,1498685.78
Web Application,Retail,1,9,1,10,5,803742.17
Data Engineering Pipeline,Education,14,12,3,2,3,17165205.44
Cybersecurity Implementation,Education,6,5,3,6,1,5244071.92
Cybersecurity Implementation,Healthcare,10,3,4,1,2,7730978.88
SaaS Product,Startup,14,15,5,3,2,41315226.44
Business Intelligence Dashboard,Finance,4,14,2,1,3,10263205.91
DevOps Automation,Startup,6,3,5,3,5,2392654.04
Cloud Migration,Retail,16,3,1,4,4,6900475.39
DevOps Automation,Startup,1,15,4,7,5,2621269.23
Data Engineering Pipeline,Retail,6,12,2,1,4,10034097.34
AI/ML Solution,Retail,9,13,5,9,4,33209254.74
SaaS Product,Finance,15,7,2,2,5,23676509.41
AI/ML Solution,Healthcare,12,8,1,9,2,15964504.8
AI/ML Solution,Finance,3,13,4,4,4,12076765.56
Business Intelligence Dashboard,Startup,11,7,2,10,3,8364826.51
AI/ML Solution,Retail,15,3,1,8,3,5417524.81
Data Engineering Pipeline,Education,3,5,3,9,4,2551091.95
Blockchain Solution,Education,14,4,2,10,2,10507144.46
ERP System,Retail,2,12,4,4,4,3734626.03
E-commerce Platform,Finance,4,14,2,8,3,11354853.06
Cloud Migration,Healthcare,12,5,2,3,3,12324512.25
SaaS Product,Finance,2,6,1,9,5,2244548.19
Legacy System Modernization,Retail,17,8,5,4,2,24731665.23
Data Engineering Pipeline,Retail,3,15,5,8,5,7578111.16
IoT System,Healthcare,10,10,2,3,1,21510854.68
Blockchain Solution,Startup,16,12,4,4,4,40179500.6
Cloud Migration,Startup,9,3,4,4,5,4372075.27
Data Engineering Pipeline,Healthcare,11,9,1,3,2,16549024.1
Blockchain Solution,Startup,15,4,2,3,4,8743324.99
AI/ML Solution,Education,3,10,2,10,4,5030185.23
Legacy System Modernization,Startup,16,11,5,4,4,32026298.53
ERP System,Startup,12,13,1,5,4,17520354.41
SaaS Product,Startup,5,5,3,6,4,9074720.42
Cybersecurity Implementation,Education,7,4,4,5,2,4378350.6
DevOps Automation,Startup,9,11,4,0,1,9493300.14
CRM System,Education,18,7,2,1,3,12449332.52
E-commerce Platform,Healthcare,8,11,1,6,1,11837239.42
ERP System,Finance,12,14,3,2,3,38526226.34
Cybersecurity Implementation,Healthcare,2,10,4,9,5,6743879.41
Web Application,Finance,10,8,1,10,4,12849040.63
SaaS Product,Healthcare,9,5,3,1,5,9424268.89
Data Engineering Pipeline,Finance,8,4,2,5,5,6844070.7
Web Application,Finance,1,11,5,10,3,3147008.64
Cybersecurity Implementation,Retail,6,5,4,3,2,7008746.09
ERP System,Finance,12,4,4,10,4,14658075.24
Data Engineering Pipeline,Finance,17,13,3,4,5,55634665.55
SaaS Product,Retail,2,4,5,5,1,1764838.21
IoT System,Startup,11,13,1,2,4,15436209.18
CRM System,Startup,18,15,2,0,2,30789722.42
AI/ML Solution,Retail,11,14,1,2,4,21067380.41
Data Engineering Pipeline,Education,18,10,3,2,5,26288746.8
IoT System,Finance,8,5,4,5,1,9909421.33
SaaS Product,Finance,15,10,4,3,5,41874349.53
SaaS Product,Retail,9,13,1,6,2,14719311.5
Data Engineering Pipeline,Retail,15,11,2,10,3,57169867.9
ERP System,Education,7,6,3,1,1,7588749.76
IoT System,Startup,13,8,2,3,2,12750720.14
ERP System,Healthcare,13,15,3,7,2,52203666.3
Blockchain Solution,Startup,1,6,2,10,5,1124875.71
Cybersecurity Implementation,Finance,4,2,1,5,5,1729300.08
Mobile Application,Retail,4,3,5,9,5,1804323.9
Data Engineering Pipeline,Education,4,12,3,2,3,6957851.1
E-commerce Platform,Startup,13,6,1,9,4,7225963.42
SaaS Product,Education,2,7,4,1,4,1976447.33
DevOps Automation,Startup,15,8,4,2,5,13067315.93
Data Engineering Pipeline,Finance,4,3,2,0,5,2475400.66
Cybersecurity Implementation,Healthcare,6,11,4,0,3,17425304.85
Legacy System Modernization,Education,3,10,5,1,4,4102548.61
Legacy System Modernization,Education,7,7,3,2,3,6767695.44
Cloud Migration,Healthcare,6,3,2,8,2,3001580.42
E-commerce Platform,Education,3,3,3,7,4,1445184.44
SaaS Product,Education,4,4,3,10,5,2879082.18
Web Application,Startup,10,2,1,10,1,1761504.63
SaaS Product,Startup,9,10,4,8,2,14713708.04
Blockchain Solution,Healthcare,6,15,3,6,1,25894512.81
AI/ML Solution,Finance,11,11,5,6,3,45726487.37
IoT System,Education,7,12,5,4,3,18166290.67
SaaS Product,Finance,18,5,4,6,3,22461554.56
Mobile Application,Healthcare,4,6,4,3,5,4256701.44
CRM System,Healthcare,5,8,2,4,3,7468436.35
Legacy System Modernization,Startup,4,2,2,0,1,741607.1
CRM System,Education,4,4,2,10,2,2228783.44
CRM System,Retail,13,15,4,3,5,40108483.07
ERP System,Healthcare,16,4,3,2,2,12451968.54
CRM System,Education,14,3,1,1,3,3491640.38
AI/ML Solution,Finance,11,9,2,1,4,23516396.38
Blockchain Solution,Startup,2,6,1,7,5,3609385.66
Web Application,Finance,14,2,5,0,3,6424267.36
CRM System,Healthcare,7,13,4,7,5,22230782.86
E-commerce Platform,Healthcare,11,3,5,8,4,9997179.4
Data Engineering Pipeline,Finance,4,2,2,5,1,1518568.73
E-commerce Platform,Healthcare,7,7,3,0,1,7633911.25
Data Engineering Pipeline,Education,16,10,2,9,1,27812465.49
ERP System,Healthcare,6,12,1,6,4,10526806.96
AI/ML Solution,Startup,6,8,2,4,2,5754717.65
Web Application,Education,2,6,3,8,4,1364145.96
Mobile Application,Retail,8,13,3,6,4,12568195.22
Cybersecurity Implementation,Healthcare,7,14,4,4,3,29362504.45
Web Application,Healthcare,14,4,4,1,1,8552896.9
Cybersecurity Implementation,Startup,9,13,3,3,5,18413770.01
E-commerce Platform,Startup,15,13,3,1,2,15581050.03
Cloud Migration,Finance,18,9,1,8,5,33269177.25
Legacy System Modernization,Finance,12,11,2,1,3,24265612.81
Cybersecurity Implementation,Finance,13,5,4,1,3,16595139.75
Blockchain Solution,Startup,7,10,1,1,2,7570923.93
DevOps Automation,Finance,10,6,2,0,5,10164600.22
Blockchain Solution,Finance,10,15,4,8,2,55714907.12
SaaS Product,Retail,2,7,1,7,2,1451426.31
Legacy System Modernization,Finance,14,6,5,1,1,22196481.07
Legacy System Modernization,Healthcare,13,11,5,1,5,27284855.13
Data Engineering Pipeline,Startup,6,13,4,4,1,11340811.35
AI/ML Solution,Education,9,12,1,3,1,15732083.93
Business Intelligence Dashboard,Retail,13,8,2,1,1,9258909.18
ERP System,Startup,9,8,2,7,4,11164556.28
E-commerce Platform,Startup,13,2,1,7,3,2541449.16
DevOps Automation,Healthcare,5,3,5,3,3,4047178.83
Cybersecurity Implementation,Finance,14,8,1,3,4,22693994.05
CRM System,Healthcare,5,9,5,8,2,10380778.52
AI/ML Solution,Finance,9,5,5,3,5,11881614.15
DevOps Automation,Finance,8,7,2,9,5,12153272.52
ERP System,Startup,7,12,4,10,5,13528552.25
Data Engineering Pipeline,Finance,8,13,3,8,1,29777710.42
E-commerce Platform,Retail,3,11,1,2,5,3217077.31
AI/ML Solution,Retail,15,4,5,1,5,11254119.73
ERP System,Retail,8,8,1,10,5,11588607.47
Cloud Migration,Startup,1,12,4,7,3,2529562.03
Cloud Migration,Healthcare,7,4,4,2,4,6973656.44
Blockchain Solution,Education,2,12,3,1,2,3741782.1
Blockchain Solution,Finance,14,8,3,10,4,38686512.57
ERP System,Education,18,13,5,7,5,57395272.69
DevOps Automation,Healthcare,15,12,3,7,2,32044872.37
Blockchain Solution,Healthcare,14,13,5,4,2,68841484.29
E-commerce Platform,Startup,17,12,2,8,4,15324764.1
AI/ML Solution,Retail,16,9,5,10,4,44648629.61
DevOps Automation,Retail,1,4,3,5,4,548446.35
Blockchain Solution,Healthcare,7,3,1,4,4,3468441.49
Mobile Application,Startup,11,13,3,2,1,12767744.4
Cybersecurity Implementation,Startup,5,7,4,6,3,5964551.27
Mobile Application,Finance,17,5,3,8,3,17768908.5
IoT System,Retail,11,9,2,3,5,17927610.91
Cloud Migration,Healthcare,8,14,5,10,1,43348251.46
Data Engineering Pipeline,Education,10,15,4,6,2,23956538.78
Web Application,Retail,12,3,5,2,4,5797337.6
Cybersecurity Implementation,Finance,10,5,5,10,5,18253702.56
Cloud Migration,Startup,13,3,3,1,2,5157348.54
DevOps Automation,Healthcare,18,15,1,10,3,49687540.65
DevOps Automation,Retail,10,3,4,0,2,4828579.43
DevOps Automation,Education,17,3,2,5,4,6730886.26
Data Engineering Pipeline,Finance,16,2,2,4,4,8153588.72
Mobile Application,Finance,5,5,1,1,3,2129451.55
Web Application,Retail,3,3,1,2,4,588420.03
E-commerce Platform,Education,15,10,3,8,1,22955629.02
Blockchain Solution,Finance,2,10,2,2,5,3757311.43
DevOps Automation,Healthcare,13,12,4,6,3,38917301.58
Business Intelligence Dashboard,Finance,8,12,1,0,3,12185644.56
IoT System,Education,17,8,1,6,2,13991193.47
Cybersecurity Implementation,Startup,4,7,1,8,3,3242569.53
AI/ML Solution,Startup,9,13,4,10,5,26842171.92
Blockchain Solution,Retail,15,4,2,7,1,11817068.78
Business Intelligence Dashboard,Education,9,15,4,6,2,22760100.84
Web Application,Finance,9,13,4,9,5,28357424.48
Data Engineering Pipeline,Finance,14,15,3,7,3,45584024.15
E-commerce Platform,Startup,16,8,1,3,4,13557313.02
E-commerce Platform,Startup,17,2,2,1,4,3766639.04
Web Application,Healthcare,13,10,3,10,5,16768502.01
AI/ML Solution,Startup,9,5,3,8,1,8475099.25
Cybersecurity Implementation,Healthcare,15,7,5,2,4,31344931.24
SaaS Product,Finance,7,7,1,10,5,11222895.28
AI/ML Solution,Healthcare,1,12,2,3,2,2647337.26
E-commerce Platform,Healthcare,1,4,2,6,3,1673885.45
ERP System,Retail,5,5,2,1,1,3626702.61
Cybersecurity Implementation,Startup,9,14,1,7,1,11962602.76
Web Application,Healthcare,12,12,2,9,2,23824646.81
E-commerce Platform,Finance,6,11,4,7,1,16751991.28
E-commerce Platform,Education,13,4,4,4,5,6405784.06
DevOps Automation,Healthcare,8,14,1,8,1,16134636.19
Web Application,Startup,15,7,2,7,1,10212991.89
SaaS Product,Retail,6,2,5,0,1,2460313.6
Web Application,Finance,6,9,5,8,5,10129047.02
SaaS Product,Retail,4,9,5,4,3,8197020.41
Cybersecurity Implementation,Education,11,10,4,8,4,22498013.9
IoT System,Healthcare,18,7,5,8,1,36456807.12
ERP System,Healthcare,3,2,2,9,2,1028607.13
Blockchain Solution,Startup,3,4,2,9,2,1971729.17
Web Application,Healthcare,12,2,5,2,5,4269402.44
Business Intelligence Dashboard,Finance,6,14,3,7,3,16993198.4
Cloud Migration,Education,6,6,5,6,1,6599959.29
CRM System,Retail,8,4,3,6,5,5498169.81
CRM System,Education,15,15,1,9,4,29781431.35
Web Application,Healthcare,18,3,1,1,3,4382900.52
SaaS Product,Retail,16,4,2,1,3,9052070.61
Business Intelligence Dashboard,Startup,6,10,4,1,5,7324489.74
IoT System,Education,17,12,2,10,2,34275590.48
DevOps Automation,Retail,9,9,2,1,3,7675859.43
SaaS Product,Retail,18,14,4,3,2,44817936.8
Data Engineering Pipeline,Retail,5,4,2,6,3,3491739.17
Data Engineering Pipeline,Finance,6,12,4,1,3,17059024.96
Cybersecurity Implementation,Education,12,3,2,4,3,5232957.18
CRM System,Retail,11,6,1,6,4,8412365.45
Web Application,Education,16,13,3,8,2,21729760.27
Data Engineering Pipeline,Retail,17,13,2,7,4,41335233.02
Web Application,Startup,9,14,3,8,2,13637742.45
Cybersecurity Implementation,Startup,1,13,5,6,4,2588045.82
CRM System,Startup,3,2,2,2,4,715228.71
AI/ML Solution,Healthcare,9,5,1,0,4,5868541.32
IoT System,Retail,13,9,4,9,5,27496549.23
Cloud Migration,Healthcare,14,2,1,6,4,5610017.09
Cloud Migration,Education,7,6,3,10,3,6941099.23
Data Engineering Pipeline,Healthcare,4,13,4,5,1,14990878.93
Cloud Migration,Education,12,5,1,1,4,4964883.3
E-commerce Platform,Education,14,7,1,0,1,9472212.96
IoT System,Education,2,8,1,9,1,2334277.01
SaaS Product,Healthcare,1,10,4,3,3,2407203.61
AI/ML Solution,Retail,18,2,1,3,1,4826642.92
IoT System,Healthcare,8,12,1,5,1,18544764.89
E-commerce Platform,Retail,3,11,3,10,1,6045960.65
Legacy System Modernization,Retail,6,5,1,4,2,3938889.55
SaaS Product,Education,13,7,1,8,4,12529632.44
E-commerce Platform,Healthcare,9,11,5,7,4,26053732.04
Web Application,Retail,9,8,4,8,1,11783532.79
Cybersecurity Implementation,Startup,9,8,5,9,3,12830805.35
Blockchain Solution,Retail,15,9,3,6,2,31942754.29
AI/ML Solution,Startup,13,15,5,8,3,47367688.54
Blockchain Solution,Healthcare,16,11,2,2,3,42470189.67
Cybersecurity Implementation,Healthcare,2,9,4,8,1,11117955.0
Cybersecurity Implementation,Healthcare,14,9,1,1,5,23092750.81
E-commerce Platform,Retail,6,9,5,8,1,10406807.09
CRM System,Finance,2,13,5,5,5,7762115.7
E-commerce Platform,Retail,8,9,1,3,2,7497374.54
Blockchain Solution,Retail,4,7,1,10,5,6788807.3
E-commerce Platform,Education,14,10,3,1,1,18983635.82
Web Application,Education,11,4,5,9,1,14800651.69
E-commerce Platform,Retail,14,7,5,2,3,16723256.41
Business Intelligence Dashboard,Startup,12,6,2,4,1,5846009.16
Cloud Migration,Education,16,9,2,8,1,19062661.78
Blockchain Solution,Retail,6,5,5,6,4,8279862.74
Business Intelligence Dashboard,Finance,1,5,2,10,4,821964.82
CRM System,Startup,12,14,5,10,3,32378907.64
Cybersecurity Implementation,Healthcare,7,11,4,2,5,21864197.5
Data Engineering Pipeline,Retail,8,12,3,3,5,26598756.35
IoT System,Retail,9,11,2,10,4,19319474.91
SaaS Product,Startup,2,14,5,1,2,4630006.22
Cloud Migration,Education,17,6,2,7,4,14403928.84
SaaS Product,Education,13,12,3,5,2,22641394.56
E-commerce Platform,Education,5,14,4,2,5,10947313.69
Legacy System Modernization,Healthcare,10,14,1,4,4,21615913.9
Cloud Migration,Startup,12,7,1,4,1,10765980.66
Web Application,Startup,17,12,2,0,2,15758769.04
Legacy System Modernization,Education,6,5,5,4,2,5434731.63
ERP System,Education,3,3,3,5,2,1590228.49
Mobile Application,Finance,15,13,4,9,5,44756979.79
Mobile Application,Finance,7,13,4,9,3,22329642.15
Mobile Application,Retail,6,15,4,10,1,25951907.27
ERP System,Retail,4,3,1,10,4,1874057.52
SaaS Product,Startup,5,13,3,10,2,9538380.47
Web Application,Startup,3,4,1,1,5,643141.2
Legacy System Modernization,Healthcare,9,3,2,2,2,3982508.39
ERP System,Healthcare,6,2,4,9,4,3995686.54
Mobile Application,Finance,13,15,3,4,1,40727445.12
CRM System,Retail,4,9,4,2,2,7027023.88
AI/ML Solution,Finance,2,13,1,4,5,5144520.76
Legacy System Modernization,Finance,4,6,1,4,5,2842110.31
Blockchain Solution,Retail,8,11,1,7,3,15756908.0
Cybersecurity Implementation,Healthcare,13,2,4,9,5,6995617.25
ERP System,Retail,10,14,3,8,3,23276594.99
Web Application,Education,18,10,3,7,1,36100007.98
Web Application,Education,9,9,2,2,4,7399825.45
Blockchain Solution,Education,1,5,4,0,3,683558.66
Business Intelligence Dashboard,Startup,13,9,2,2,2,12464518.81
AI/ML Solution,Healthcare,18,14,2,0,2,57506945.65
Legacy System Modernization,Healthcare,15,13,2,10,4,41392228.94
Data Engineering Pipeline,Startup,2,14,2,8,5,4486330.54
Cloud Migration,Finance,11,11,1,2,2,21162286.46
Mobile Application,Education,14,8,2,7,3,13736877.99
Legacy System Modernization,Education,15,12,3,5,4,22492920.91
E-commerce Platform,Finance,14,12,2,2,2,21005530.47
Data Engineering Pipeline,Retail,16,8,1,8,5,18494036.69
Business Intelligence Dashboard,Retail,15,2,5,7,5,5412738.29
Mobile Application,Healthcare,9,7,5,2,2,14900982.02
AI/ML Solution,Startup,5,14,5,6,4,13056440.17
IoT System,Healthcare,5,5,4,4,1,5358217.18
E-commerce Platform,Retail,11,15,3,1,2,16575038.13
Business Intelligence Dashboard,Finance,4,11,1,7,5,6099806.72
SaaS Product,Healthcare,18,11,5,0,1,60037706.57
Mobile Application,Education,3,11,1,3,4,3528844.52
AI/ML Solution,Education,4,12,1,10,5,13372056.23
DevOps Automation,Finance,14,13,4,10,4,43346494.25
Data Engineering Pipeline,Retail,7,3,5,3,2,8769266.37
Data Engineering Pipeline,Education,8,11,2,9,4,13032266.92
Cloud Migration,Education,16,8,1,4,5,38258600.94
Blockchain Solution,Startup,15,10,5,3,2,35805470.4
