project_type,client_industry,estimated_timeline_months,team_allocation,complexity_score,revision_count,final_billed_amount
CRM System,Healthcare,16,5,4,8,7534087.44
ERP System,Healthcare,15,11,1,10,12226116.45
Legacy System Modernization,Startup,15,4,1,0,2881807.89
Business Intelligence Dashboard,Education,14,7,5,4,7318252.48
Data Engineering Pipeline,Education,14,4,4,1,4420134.37
Cloud Migration,Startup,6,12,3,6,4181183.28
DevOps Automation,Healthcare,14,10,4,3,12395056.44
Cloud Migration,Startup,17,4,4,4,4666885.99
Web Application,Finance,18,3,3,7,3525130.98
Web Application,Education,17,9,3,1,9214692.14
Cybersecurity Implementation,Retail,16,7,4,2,9419586.47
E-commerce Platform,Finance,8,9,2,10,6265116.67
E-commerce Platform,Finance,7,14,2,4,8229714.88
Mobile Application,Startup,12,8,4,9,6360978.28
Blockchain Solution,Healthcare,9,4,2,3,2337864.68
Business Intelligence Dashboard,Education,14,9,3,4,7945079.0
IoT System,Retail,1,11,3,2,611447.05
Data Engineering Pipeline,Finance,10,2,2,8,1652982.0
Cloud Migration,Retail,17,2,3,7,2849868.47
DevOps Automation,Healthcare,17,14,1,5,13983075.95
Web Application,Healthcare,17,14,3,0,15720993.36
Web Application,Retail,4,11,4,3,3473255.28
Mobile Application,Education,17,14,5,6,20595250.25
DevOps Automation,Healthcare,18,9,2,9,21726432.07
SaaS Product,Retail,2,14,2,4,3351166.54
DevOps Automation,Finance,8,10,3,3,6354399.77
Mobile Application,Retail,13,11,3,8,9710063.0
Web Application,Retail,15,7,5,7,9178243.54
Business Intelligence Dashboard,Startup,9,6,5,2,3995299.56
CRM System,Healthcare,3,3,4,5,732251.14
CRM System,Education,3,12,1,3,2029300.98
Mobile Application,Education,2,10,4,6,1444844.82
DevOps Automation,Startup,1,7,2,0,416958.99
Data Engineering Pipeline,Education,14,9,3,0,8687262.03
Mobile Application,Retail,17,10,4,5,13224208.88
Business Intelligence Dashboard,Startup,13,10,3,9,8302870.21
Mobile Application,Finance,15,9,3,10,11099239.91
AI/ML Solution,Healthcare,14,13,4,6,18896059.38
E-commerce Platform,Healthcare,2,11,4,8,1882661.03
Cloud Migration,Healthcare,7,9,5,6,6541458.2
DevOps Automation,Retail,17,4,1,8,3945755.11
Blockchain Solution,Finance,18,14,5,9,29257220.13
Cybersecurity Implementation,Startup,6,4,1,8,1622586.16
Legacy System Modernization,Startup,8,3,4,7,1500060.24
Cybersecurity Implementation,Healthcare,2,2,1,6,285384.28
DevOps Automation,Finance,1,5,2,2,358632.23
Blockchain Solution,Finance,16,3,5,10,4687855.51
IoT System,Finance,7,15,5,2,11040578.37
Business Intelligence Dashboard,Education,11,15,5,10,13939625.06
AI/ML Solution,Education,15,3,3,4,3554102.67
AI/ML Solution,Healthcare,13,14,3,6,16590082.97
Legacy System Modernization,Finance,2,12,4,9,2312039.89
Web Application,Finance,14,12,4,6,13560495.42
Cloud Migration,Startup,6,6,3,0,3947511.67
CRM System,Startup,9,5,5,7,3197952.46
ERP System,Healthcare,7,2,3,0,1174695.78
Business Intelligence Dashboard,Finance,18,10,1,10,12127703.37
Legacy System Modernization,Healthcare,9,15,5,3,19431657.65
ERP System,Startup,4,5,3,1,1291813.54
SaaS Product,Startup,9,6,4,4,4281300.52
ERP System,Education,4,8,3,5,2412465.27
DevOps Automation,Healthcare,12,3,2,3,2525174.65
Legacy System Modernization,Healthcare,4,9,3,3,2741025.26
Cybersecurity Implementation,Finance,14,12,5,6,17091989.48
Cybersecurity Implementation,Finance,7,3,3,10,1942381.03
CRM System,Education,13,12,4,3,12738223.68
Legacy System Modernization,Retail,8,11,1,1,5282110.96
DevOps Automation,Retail,5,6,2,3,2044235.92
ERP System,Retail,12,14,5,6,16460015.08
Blockchain Solution,Healthcare,13,13,4,0,18228918.77
SaaS Product,Healthcare,14,3,2,3,3150985.5
IoT System,Startup,18,3,3,5,3795287.15
E-commerce Platform,Healthcare,4,5,2,7,1293233.16
Data Engineering Pipeline,Healthcare,18,5,1,7,6574370.86
Cybersecurity Implementation,Healthcare,7,14,2,8,8019581.06
Business Intelligence Dashboard,Education,15,9,2,4,7745682.45
Blockchain Solution,Healthcare,6,14,3,1,7680921.15
Business Intelligence Dashboard,Finance,16,7,3,2,7540919.28
Web Application,Finance,8,11,5,1,7975378.55
Legacy System Modernization,Startup,16,9,3,8,8855153.4
Mobile Application,Education,16,14,2,5,13098283.12
Data Engineering Pipeline,Finance,3,8,1,10,1886884.71
Cybersecurity Implementation,Education,17,14,3,0,16817004.08
SaaS Product,Education,9,11,5,2,9033055.29
AI/ML Solution,Startup,3,5,5,6,1410317.27
Cybersecurity Implementation,Education,7,3,2,6,2259098.41
Blockchain Solution,Healthcare,18,10,3,4,17653694.02
Web Application,Education,12,3,3,2,2123721.2
Business Intelligence Dashboard,Startup,16,2,5,6,2315733.27
ERP System,Startup,17,9,3,4,10836910.97
AI/ML Solution,Startup,15,11,2,5,11005327.96
DevOps Automation,Finance,1,10,1,2,540099.68
Cloud Migration,Healthcare,2,2,2,5,280147.79
ERP System,Finance,8,8,3,6,5102335.48
Cloud Migration,Retail,2,3,2,7,350189.16
Data Engineering Pipeline,Healthcare,9,7,4,1,5354255.6
IoT System,Education,9,14,4,1,8503650.4
Mobile Application,Startup,13,12,3,5,9633659.86
IoT System,Retail,6,6,3,7,3109398.03
AI/ML Solution,Healthcare,15,2,1,4,2036649.75
CRM System,Finance,15,3,2,0,2638801.36
AI/ML Solution,Startup,18,3,1,10,3537112.3
IoT System,Finance,7,11,3,0,6224707.93
Cybersecurity Implementation,Healthcare,11,11,3,9,18115288.52
Blockchain Solution,Healthcare,8,7,5,8,5180767.65
Business Intelligence Dashboard,Retail,6,12,1,3,3615138.8
Cybersecurity Implementation,Education,8,13,3,9,7783260.53
Cybersecurity Implementation,Finance,2,2,4,0,401441.99
Blockchain Solution,Retail,16,12,5,10,20815237.22
Blockchain Solution,Startup,7,14,2,7,5824739.27
Data Engineering Pipeline,Education,10,5,5,1,4192135.88
ERP System,Retail,12,13,2,1,9348831.02
CRM System,Finance,17,11,4,0,17432703.75
CRM System,Healthcare,7,12,2,0,6293078.54
Cybersecurity Implementation,Startup,8,6,1,8,3007962.48
Cloud Migration,Finance,7,3,2,0,1599052.45
Data Engineering Pipeline,Education,4,3,2,5,832991.03
Legacy System Modernization,Education,3,8,5,6,2073532.91
Legacy System Modernization,Healthcare,15,8,4,3,10232406.59
SaaS Product,Healthcare,4,7,2,4,2182310.65
Cybersecurity Implementation,Startup,9,2,1,3,1106303.79
Mobile Application,Startup,13,13,5,3,13756288.31
Business Intelligence Dashboard,Healthcare,18,14,4,9,23102700.15
Blockchain Solution,Healthcare,16,13,4,0,18065214.84
ERP System,Education,1,4,3,5,296138.47
DevOps Automation,Healthcare,4,10,1,9,2576674.32
Blockchain Solution,Retail,18,11,5,9,21198281.07
Mobile Application,Finance,8,2,5,6,1610334.68
Cloud Migration,Healthcare,16,3,1,6,3297665.59
AI/ML Solution,Startup,11,9,4,7,7630999.79
E-commerce Platform,Retail,18,8,2,6,8924339.08
AI/ML Solution,Startup,11,10,1,5,7003744.66
IoT System,Retail,3,11,5,7,4804171.9
Mobile Application,Healthcare,8,13,1,2,6666961.17
IoT System,Finance,10,13,4,8,12258542.31
Cybersecurity Implementation,Startup,16,5,3,2,5771706.89
DevOps Automation,Retail,5,5,3,3,1949546.21
Web Application,Education,9,8,2,9,4490065.14
Blockchain Solution,Healthcare,8,2,2,5,1168743.29
Web Application,Finance,11,11,4,7,10457111.34
Cloud Migration,Healthcare,16,13,2,2,15258843.78
Cybersecurity Implementation,Education,7,10,3,9,8669367.2
CRM System,Finance,15,3,4,5,4531202.34
Blockchain Solution,Education,17,2,4,4,3017056.4
IoT System,Healthcare,6,8,4,4,4492014.88
CRM System,Retail,15,7,1,4,5540667.21
ERP System,Healthcare,8,13,2,8,7982510.29
SaaS Product,Healthcare,7,4,5,6,2876542.16
DevOps Automation,Healthcare,2,2,3,8,351216.55
SaaS Product,Startup,13,13,2,8,9946418.74
DevOps Automation,Education,6,6,3,5,2583296.44
AI/ML Solution,Education,5,11,2,5,4141522.45
Data Engineering Pipeline,Education,1,15,5,3,1323584.9
Blockchain Solution,Startup,18,5,3,7,7565929.74
IoT System,Retail,15,6,5,1,9073991.57
SaaS Product,Healthcare,10,2,3,4,1683511.11
Cloud Migration,Retail,3,2,1,0,380229.88
Web Application,Startup,5,6,1,9,1631926.3
Legacy System Modernization,Education,13,7,3,1,5822557.78
E-commerce Platform,Healthcare,8,6,3,0,3206386.23
Cloud Migration,Finance,2,3,5,5,1048802.05
CRM System,Finance,9,10,4,1,8293071.12
CRM System,Retail,17,6,3,3,6979741.12
SaaS Product,Education,18,12,2,4,21637191.19
E-commerce Platform,Finance,13,12,2,6,12465710.04
Mobile Application,Retail,1,6,2,9,346677.74
ERP System,Startup,12,11,1,0,7657962.3
Blockchain Solution,Retail,5,10,5,10,5382083.15
DevOps Automation,Retail,8,4,1,4,1910924.99
Business Intelligence Dashboard,Retail,15,6,2,3,5549122.54
Legacy System Modernization,Healthcare,3,14,3,6,3357058.95
IoT System,Retail,6,13,2,9,6066135.65
Cloud Migration,Retail,13,6,3,6,6133929.37
IoT System,Healthcare,12,3,5,7,3572381.5
CRM System,Healthcare,18,12,4,3,19110750.1
Data Engineering Pipeline,Startup,1,5,3,3,319678.7
AI/ML Solution,Education,7,12,1,9,5869670.04
Web Application,Finance,12,12,2,4,10136789.58
ERP System,Finance,10,3,2,4,2559969.29
Data Engineering Pipeline,Retail,12,6,2,10,4417142.88
ERP System,Startup,11,11,3,2,8924808.82
Mobile Application,Retail,4,14,5,4,5022553.2
Business Intelligence Dashboard,Finance,6,13,3,4,5328547.2
SaaS Product,Healthcare,9,3,1,7,1875273.07
SaaS Product,Education,10,11,2,6,7029324.0
CRM System,Startup,5,15,3,7,5513315.37
AI/ML Solution,Healthcare,13,10,2,4,10653872.1
E-commerce Platform,Education,9,11,1,10,6003919.72
Blockchain Solution,Startup,2,7,4,1,1113044.89
E-commerce Platform,Startup,18,9,4,7,10960060.67
Data Engineering Pipeline,Finance,1,10,4,8,1020805.81
ERP System,Healthcare,12,14,2,1,10900537.13
DevOps Automation,Startup,10,9,3,0,5117566.25
Mobile Application,Startup,2,6,2,5,719187.09
DevOps Automation,Education,9,6,5,2,3953886.33
AI/ML Solution,Finance,2,7,3,0,1297193.85
Blockchain Solution,Retail,14,15,1,5,13081491.6
Blockchain Solution,Finance,11,2,4,7,2181918.44
Data Engineering Pipeline,Retail,11,14,3,8,9486212.92
IoT System,Healthcare,17,12,3,5,19010258.93
Mobile Application,Healthcare,4,9,4,5,5235327.78
Legacy System Modernization,Startup,13,3,1,0,1898478.63
Blockchain Solution,Healthcare,7,7,2,4,4572963.16
Blockchain Solution,Startup,16,15,2,2,16524564.4
Data Engineering Pipeline,Finance,1,15,3,6,1238105.78
CRM System,Healthcare,13,10,4,8,12696478.42
Cybersecurity Implementation,Finance,1,14,5,10,1467803.44
Mobile Application,Finance,11,4,1,5,3225477.47
DevOps Automation,Healthcare,6,3,2,4,1289943.37
AI/ML Solution,Finance,3,11,1,6,2577690.67
Blockchain Solution,Healthcare,12,6,1,10,5534901.21
Blockchain Solution,Healthcare,5,12,1,8,4591052.78
SaaS Product,Healthcare,9,10,4,4,8110645.9
Business Intelligence Dashboard,Retail,12,7,4,4,5747330.46
CRM System,Finance,10,15,4,9,15171357.19
Blockchain Solution,Education,5,9,3,3,3520432.02
Cybersecurity Implementation,Healthcare,5,9,4,4,4114758.75
Business Intelligence Dashboard,Finance,9,8,3,6,5047324.65
SaaS Product,Startup,17,6,2,2,6187715.45
Web Application,Healthcare,10,3,2,3,2178412.37
CRM System,Healthcare,1,15,2,8,1057545.95
AI/ML Solution,Education,16,11,2,1,10803598.91
ERP System,Retail,15,11,2,7,12249651.31
Mobile Application,Retail,17,6,4,8,6798486.49
Data Engineering Pipeline,Healthcare,13,13,5,4,17043032.88
AI/ML Solution,Finance,1,8,4,6,851059.29
Legacy System Modernization,Startup,8,13,5,5,8079178.47
Mobile Application,Startup,5,13,4,0,4359256.07
Business Intelligence Dashboard,Finance,6,8,2,7,3433701.58
IoT System,Healthcare,14,12,1,8,11843976.8
Data Engineering Pipeline,Startup,11,14,5,9,13713825.38
Cloud Migration,Retail,6,3,1,10,1058114.03
DevOps Automation,Finance,11,8,2,0,6570450.74
Web Application,Education,13,7,5,7,5953315.44
CRM System,Healthcare,12,8,1,2,11711519.43
Blockchain Solution,Finance,2,12,4,5,2096571.36
IoT System,Startup,3,9,2,9,1810378.94
SaaS Product,Healthcare,4,5,4,7,1705399.89
Legacy System Modernization,Retail,17,2,4,4,2647695.63
IoT System,Healthcare,6,9,2,7,4766626.18
AI/ML Solution,Healthcare,7,9,5,6,5819899.44
Web Application,Retail,15,4,3,6,4098852.85
ERP System,Retail,11,4,3,6,2967743.56
E-commerce Platform,Healthcare,3,6,2,8,1304062.66
Mobile Application,Retail,6,15,3,5,6775876.65
Mobile Application,Finance,2,4,1,5,588298.48
AI/ML Solution,Retail,14,15,5,10,18461175.73
Cybersecurity Implementation,Retail,9,6,4,8,4844144.55
Cybersecurity Implementation,Healthcare,18,9,4,5,14465139.49
Blockchain Solution,Finance,12,2,2,6,1956769.9
Legacy System Modernization,Education,13,3,4,6,3079938.78
Cloud Migration,Education,12,3,1,1,2119770.36
DevOps Automation,Startup,12,13,1,7,7301625.65
Data Engineering Pipeline,Retail,18,5,2,10,5600880.24
ERP System,Retail,9,10,4,5,12128553.19
Blockchain Solution,Finance,17,3,3,3,4554361.1
Web Application,Education,16,13,3,10,14198294.1
Cybersecurity Implementation,Startup,17,15,5,6,20642406.28
Cloud Migration,Finance,8,12,2,7,7598560.21
Cloud Migration,Retail,11,14,5,0,10794380.03
Legacy System Modernization,Education,2,13,3,9,1863142.9
AI/ML Solution,Startup,8,10,3,3,8134190.84
ERP System,Healthcare,12,8,3,3,11389708.59
Business Intelligence Dashboard,Education,1,11,5,9,896594.5
Data Engineering Pipeline,Startup,13,9,2,8,7642576.9
Legacy System Modernization,Finance,17,2,1,5,2469432.81
DevOps Automation,Healthcare,14,14,1,3,10737543.32
Legacy System Modernization,Startup,14,6,3,0,4719518.53
Legacy System Modernization,Startup,16,10,2,7,8299766.36
CRM System,Retail,17,13,2,10,13956494.36
AI/ML Solution,Education,6,5,4,8,2511782.11
Data Engineering Pipeline,Retail,7,3,4,4,1811538.56
CRM System,Healthcare,1,7,5,4,717752.41
CRM System,Startup,15,3,4,9,3811157.91
SaaS Product,Retail,18,4,5,7,6335192.33
ERP System,Education,13,15,1,7,12850556.72
SaaS Product,Healthcare,2,9,3,4,1378495.87
ERP System,Finance,15,4,2,3,4432701.04
Blockchain Solution,Retail,12,3,1,5,2652528.97
Web Application,Healthcare,15,7,1,9,6870932.94
Cloud Migration,Finance,18,15,5,4,21575004.84
Data Engineering Pipeline,Retail,14,4,3,7,4380086.12
AI/ML Solution,Healthcare,6,2,5,8,1364978.05
Blockchain Solution,Healthcare,12,13,1,0,9943121.29
E-commerce Platform,Retail,6,15,2,8,6553899.67
Legacy System Modernization,Healthcare,9,15,4,8,19032060.78
Mobile Application,Startup,4,4,5,5,1295450.27
AI/ML Solution,Retail,17,7,1,10,8425476.95
Web Application,Healthcare,2,4,4,9,726507.94
DevOps Automation,Finance,16,10,4,4,13369672.78
IoT System,Finance,14,8,1,6,8646454.49
IoT System,Startup,8,15,3,10,7762206.94
Cloud Migration,Retail,14,6,1,7,5555958.59
IoT System,Healthcare,2,3,2,8,483190.02
IoT System,Healthcare,16,10,4,8,15834712.76
Mobile Application,Finance,4,6,2,9,1880386.46
Cybersecurity Implementation,Startup,1,8,5,10,683750.63
SaaS Product,Finance,14,10,4,2,13714827.01
DevOps Automation,Finance,8,5,3,7,3402985.58
SaaS Product,Startup,3,10,1,0,1514710.44
ERP System,Retail,5,2,5,6,903458.54
CRM System,Healthcare,6,13,2,4,6328688.57
Cybersecurity Implementation,Retail,8,7,5,1,4761958.48
SaaS Product,Education,6,3,3,1,1288342.33
AI/ML Solution,Education,6,9,1,7,3485841.76
AI/ML Solution,Education,4,6,5,4,2026948.05
SaaS Product,Startup,7,4,2,10,1895153.77
Legacy System Modernization,Finance,7,3,5,2,3196038.02
SaaS Product,Retail,3,9,1,0,1759600.0
IoT System,Healthcare,8,8,5,10,7183360.94
ERP System,Education,1,10,2,6,743858.72
Web Application,Retail,1,9,1,10,488603.52
Data Engineering Pipeline,Education,14,12,3,2,12231474.16
Cybersecurity Implementation,Education,6,5,3,6,2133242.73
Cybersecurity Implementation,Healthcare,10,3,4,1,4410012.13
SaaS Product,Startup,14,15,5,3,17096407.13
Business Intelligence Dashboard,Finance,4,14,2,1,3862694.23
DevOps Automation,Startup,6,3,5,3,1354166.81
Cloud Migration,Retail,16,3,1,4,3123116.09
DevOps Automation,Startup,1,15,4,7,1147761.72
Data Engineering Pipeline,Retail,6,12,2,1,4606733.16
AI/ML Solution,Retail,9,13,5,9,12109356.2
SaaS Product,Finance,15,7,2,2,8358515.38
AI/ML Solution,Healthcare,12,8,1,9,11737307.21
AI/ML Solution,Finance,3,13,4,4,3874226.06
Business Intelligence Dashboard,Startup,11,7,2,10,3979387.2
AI/ML Solution,Retail,15,3,1,8,2899374.07
Data Engineering Pipeline,Education,3,5,3,9,1104754.86
Blockchain Solution,Education,14,4,2,10,4496375.97
ERP System,Retail,2,12,4,4,3552294.42
E-commerce Platform,Finance,4,14,2,8,4798029.07
Cloud Migration,Healthcare,12,5,2,3,4546159.07
SaaS Product,Finance,2,6,1,9,806867.97
Legacy System Modernization,Retail,17,8,5,4,11963406.25
Data Engineering Pipeline,Retail,3,15,5,8,4151267.98
IoT System,Healthcare,10,10,2,3,7487435.11
Blockchain Solution,Startup,16,12,4,4,14109324.24
Cloud Migration,Startup,9,3,4,4,2180007.43
Data Engineering Pipeline,Healthcare,11,9,1,3,6813224.54
Blockchain Solution,Startup,15,4,2,3,3857365.76
AI/ML Solution,Education,3,10,2,10,2432564.2
Legacy System Modernization,Startup,16,11,5,4,13404535.74
ERP System,Startup,12,13,1,5,9669239.08
SaaS Product,Startup,5,5,3,6,1742461.0
Cybersecurity Implementation,Education,7,4,4,5,3273181.39
DevOps Automation,Startup,9,11,4,0,6948396.78
CRM System,Education,18,7,2,1,11685968.29
E-commerce Platform,Healthcare,8,11,1,6,5943224.96
ERP System,Finance,12,14,3,2,14242468.03
Cybersecurity Implementation,Healthcare,2,10,4,9,1678237.2
Web Application,Finance,10,8,1,10,5762582.52
SaaS Product,Healthcare,9,5,3,1,3470565.07
Data Engineering Pipeline,Finance,8,4,2,5,2409129.03
Web Application,Finance,1,11,5,10,1138351.7
Cybersecurity Implementation,Retail,6,5,4,3,2744755.11
ERP System,Finance,12,4,4,10,4951561.87
Data Engineering Pipeline,Finance,17,13,3,4,19602835.3
SaaS Product,Retail,2,4,5,5,723350.42
IoT System,Startup,11,13,1,2,7407817.41
CRM System,Startup,18,15,2,0,16391317.94
AI/ML Solution,Retail,11,14,1,2,11063964.96
Data Engineering Pipeline,Education,18,10,3,2,11924527.38
IoT System,Finance,8,5,4,5,3130028.92
SaaS Product,Finance,15,10,4,3,13352567.57
SaaS Product,Retail,9,13,1,6,7310198.08
Data Engineering Pipeline,Retail,15,11,2,10,12455951.2
ERP System,Education,7,6,3,1,3255917.64
IoT System,Startup,13,8,2,3,6079238.07
ERP System,Healthcare,13,15,3,7,17841106.84
Blockchain Solution,Startup,1,6,2,10,412640.4
Cybersecurity Implementation,Finance,4,2,1,5,556561.74
Mobile Application,Retail,4,3,5,9,1096338.44
Data Engineering Pipeline,Education,4,12,3,2,3110178.85
E-commerce Platform,Startup,13,6,1,9,4565647.52
SaaS Product,Education,2,7,4,1,1071630.21
DevOps Automation,Startup,15,8,4,2,8121358.85
Data Engineering Pipeline,Finance,4,3,2,0,794837.75
Cybersecurity Implementation,Healthcare,6,11,4,0,5979929.42
Legacy System Modernization,Education,3,10,5,1,2392810.65
Legacy System Modernization,Education,7,7,3,2,3206959.09
Cloud Migration,Healthcare,6,3,2,8,1336816.23
E-commerce Platform,Education,3,3,3,7,644901.9
SaaS Product,Education,4,4,3,10,1126218.39
Web Application,Startup,10,2,1,10,1131092.51
SaaS Product,Startup,9,10,4,8,11930499.26
Blockchain Solution,Healthcare,6,15,3,6,7718697.31
AI/ML Solution,Finance,11,11,5,6,13111671.18
IoT System,Education,7,12,5,4,7320346.21
SaaS Product,Finance,18,5,4,6,8549079.38
Mobile Application,Healthcare,4,6,4,3,1943269.85
CRM System,Healthcare,5,8,2,4,2823711.57
Legacy System Modernization,Startup,4,2,2,0,449221.38
CRM System,Education,4,4,2,10,1149051.61
CRM System,Retail,13,15,4,3,16213871.28
ERP System,Healthcare,16,4,3,2,5562664.53
CRM System,Education,14,3,1,1,2591717.59
AI/ML Solution,Finance,11,9,2,1,12834105.16
Blockchain Solution,Startup,2,6,1,7,777885.69
Web Application,Finance,14,2,5,0,2446776.34
CRM System,Healthcare,7,13,4,7,7163825.93
E-commerce Platform,Healthcare,11,3,5,8,3191306.51
Data Engineering Pipeline,Finance,4,2,2,5,1045180.5
E-commerce Platform,Healthcare,7,7,3,0,3507789.1
Data Engineering Pipeline,Education,16,10,2,9,11511352.89
ERP System,Healthcare,6,12,1,6,5478856.94
AI/ML Solution,Startup,6,8,2,4,5459870.31
Web Application,Education,2,6,3,8,746718.75
Mobile Application,Retail,8,13,3,6,7267960.58
Cybersecurity Implementation,Healthcare,7,14,4,4,9281202.03
Web Application,Healthcare,14,4,4,1,4320068.84
Cybersecurity Implementation,Startup,9,13,3,3,8147749.75
E-commerce Platform,Startup,15,13,3,1,11668871.47
Cloud Migration,Finance,18,9,1,8,12188077.22
Legacy System Modernization,Finance,12,11,2,1,10407277.81
Cybersecurity Implementation,Finance,13,5,4,1,6244306.11
Blockchain Solution,Startup,7,10,1,1,4577734.52
DevOps Automation,Finance,10,6,2,0,4547144.11
Blockchain Solution,Finance,10,15,4,8,16132603.81
SaaS Product,Retail,2,7,1,7,896026.25
Legacy System Modernization,Finance,14,6,5,1,7153322.82
Legacy System Modernization,Healthcare,13,11,5,1,13257708.71
Data Engineering Pipeline,Startup,6,13,4,4,5131696.84
AI/ML Solution,Education,9,12,1,3,5958853.17
Business Intelligence Dashboard,Retail,13,8,2,1,6244537.41
ERP System,Startup,9,8,2,7,4765137.36
E-commerce Platform,Startup,13,2,1,7,1553695.39
DevOps Automation,Healthcare,5,3,5,3,1368042.08
Cybersecurity Implementation,Finance,14,8,1,3,8824063.68
CRM System,Healthcare,5,9,5,8,4815240.43
AI/ML Solution,Finance,9,5,5,3,5090768.72
DevOps Automation,Finance,8,7,2,9,4609572.17
ERP System,Startup,7,12,4,10,7427761.69
Data Engineering Pipeline,Finance,8,13,3,8,8906882.16
E-commerce Platform,Retail,3,11,1,2,1618224.69
AI/ML Solution,Retail,15,4,5,1,5217043.2
ERP System,Retail,8,8,1,10,3487657.63
Cloud Migration,Startup,1,12,4,7,909780.16
Cloud Migration,Healthcare,7,4,4,2,2114848.75
Blockchain Solution,Education,2,12,3,1,1938494.73
Blockchain Solution,Finance,14,8,3,10,9460061.38
ERP System,Education,18,13,5,7,17507923.17
DevOps Automation,Healthcare,15,12,3,7,15237235.98
Blockchain Solution,Healthcare,14,13,5,4,18361654.7
E-commerce Platform,Startup,17,12,2,8,10770280.08
AI/ML Solution,Retail,16,9,5,10,15503268.26
DevOps Automation,Retail,1,4,3,5,287194.67
Blockchain Solution,Healthcare,7,3,1,4,2623829.87
Mobile Application,Startup,11,13,3,2,9713734.07
Cybersecurity Implementation,Startup,5,7,4,6,2171566.85
Mobile Application,Finance,17,5,3,8,6978273.11
IoT System,Retail,11,9,2,3,5776610.66
Cloud Migration,Healthcare,8,14,5,10,10030955.68
Data Engineering Pipeline,Education,10,15,4,6,10932019.27
Web Application,Retail,12,3,5,2,3008661.27
Cybersecurity Implementation,Finance,10,5,5,10,5536623.32
Cloud Migration,Startup,13,3,3,1,2717027.48
DevOps Automation,Healthcare,18,15,1,10,19950710.46
DevOps Automation,Retail,10,3,4,0,2163781.69
DevOps Automation,Education,17,3,2,5,3242745.5
Data Engineering Pipeline,Finance,16,2,2,4,2497147.04
Mobile Application,Finance,5,5,1,1,1661046.77
Web Application,Retail,3,3,1,2,491635.28
E-commerce Platform,Education,15,10,3,8,11287632.96
Blockchain Solution,Finance,2,10,2,2,1734036.69
DevOps Automation,Healthcare,13,12,4,6,13369572.02
Business Intelligence Dashboard,Finance,8,12,1,0,6387760.54
IoT System,Education,17,8,1,6,9011227.83
Cybersecurity Implementation,Startup,4,7,1,8,1748461.81
AI/ML Solution,Startup,9,13,4,10,9739131.73
Blockchain Solution,Retail,15,4,2,7,5172772.63
Business Intelligence Dashboard,Education,9,15,4,6,9250485.12
Web Application,Finance,9,13,4,9,11004743.4
Data Engineering Pipeline,Finance,14,15,3,7,19187922.99
E-commerce Platform,Startup,16,8,1,3,6452450.23
E-commerce Platform,Startup,17,2,2,1,1980984.8
Web Application,Healthcare,13,10,3,10,9676181.35
AI/ML Solution,Startup,9,5,3,8,3402515.21
Cybersecurity Implementation,Healthcare,15,7,5,2,10490784.44
SaaS Product,Finance,7,7,1,10,3530485.19
AI/ML Solution,Healthcare,1,12,2,3,862498.52
E-commerce Platform,Healthcare,1,4,2,6,293113.65
ERP System,Retail,5,5,2,1,1768596.79
Cybersecurity Implementation,Startup,9,14,1,7,7539892.07
Web Application,Healthcare,12,12,2,9,10416084.93
E-commerce Platform,Finance,6,11,4,7,6004779.95
E-commerce Platform,Education,13,4,4,4,3669968.26
DevOps Automation,Healthcare,8,14,1,8,8395562.74
Web Application,Startup,15,7,2,7,6261494.3
SaaS Product,Retail,6,2,5,0,992704.04
Web Application,Finance,6,9,5,8,4931696.82
SaaS Product,Retail,4,9,5,4,3101709.06
Cybersecurity Implementation,Education,11,10,4,8,9097306.65
IoT System,Healthcare,18,7,5,8,11194843.95
ERP System,Healthcare,3,2,2,9,524834.04
Blockchain Solution,Startup,3,4,2,9,852717.63
Web Application,Healthcare,12,2,5,2,3427312.38
Business Intelligence Dashboard,Finance,6,14,3,7,7066602.02
Cloud Migration,Education,6,6,5,6,2968381.08
CRM System,Retail,8,4,3,6,2017898.75
CRM System,Education,15,15,1,9,13037814.56
Web Application,Healthcare,18,3,1,1,3569651.48
SaaS Product,Retail,16,4,2,1,4401927.78
Business Intelligence Dashboard,Startup,6,10,4,1,3817096.87
IoT System,Education,17,12,2,10,14355953.71
DevOps Automation,Retail,9,9,2,1,4928976.61
SaaS Product,Retail,18,14,4,3,20532239.62
Data Engineering Pipeline,Retail,5,4,2,6,1383858.54
Data Engineering Pipeline,Finance,6,12,4,1,6223779.56
Cybersecurity Implementation,Education,12,3,2,4,2375690.23
CRM System,Retail,11,6,1,6,4377100.58
Web Application,Education,16,13,3,8,13882410.72
Data Engineering Pipeline,Retail,17,13,2,7,14740260.85
Web Application,Startup,9,14,3,8,6945117.68
Cybersecurity Implementation,Startup,1,13,5,6,1061912.9
CRM System,Startup,3,2,2,2,379614.69
AI/ML Solution,Healthcare,9,5,1,0,3478075.76
IoT System,Retail,13,9,4,9,9432903.18
Cloud Migration,Healthcare,14,2,1,6,1893218.25
Cloud Migration,Education,7,6,3,10,3209878.14
Data Engineering Pipeline,Healthcare,4,13,4,5,4675610.75
Cloud Migration,Education,12,5,1,1,3147213.2
E-commerce Platform,Education,14,7,1,0,4577078.51
IoT System,Education,2,8,1,9,1057091.56
SaaS Product,Healthcare,1,10,4,3,904486.88
AI/ML Solution,Retail,18,2,1,3,2350537.65
IoT System,Healthcare,8,12,1,5,11713056.37
